name;main_category;ratings;no_of_ratings;discount_price;actual_price;;;;;;;;
Puma Unisex-Child Tacto Ii Fg/Ag Junior Football Shoe;sports & fitness;4.0;14;₹1,447;₹2,999;;;;;;;;
Shrishti Creations Women's Ankle Length Velvet Socks;sports & fitness;4.1;704;₹299;₹999;;;;;;;;
PLUMBURY Women's No-show Net Socks (Pack of 5) (PL-NOSHOWSOCKS-LACE-ASSORTED_5_Multicolored);sports & fitness;3.6;110;₹499;₹799;;;;;;;;
Nivia 1021OR Blade Machine Stitched Football;sports & fitness;3.5;158;₹474;₹569;;;;;;;;
Amazon Brand - Symactive Men's Regular Track Pants;sports & fitness;3.9;524;₹509;₹1,799;;;;;;;;
MARK LOUIIS Men's Regular Fit Track pants;sports & fitness;3.9;2,425;₹616;₹1,180;;;;;;;;
Jockey Men's Relaxed Fit Sweatpants;sports & fitness;3.9;314;;₹1,199;;;;;;;;
RASCO Joggers for Women; (for Summer ONLY);sports & fitness;Football;https://m.media-amazon.com/images/I/51SR0NxEsJL._AC_UL320_.jpg;https://www.amazon.in/RASCO-Joggers-Stretchable-Treggings-Trousers/dp/B0BT1R74GJ/ref=sr_1_440?qid=1679217159&s=sports&sr=1-440;3.6;8;₹499;₹999;;;;
Jockey Men's Regular Track Pants;sports & fitness;4.0;69;₹999;₹1,699;;;;;;;;
F&B Modern FIFA World Cup New Age Football with Air Pump (Size-5; Multicolor) | White Blue Orange & Yellow;https://www.amazon.in/Modern-Football-Size-5-Multicolor-Orange/dp/B0BPBSV6HL/ref=sr_1_442?qid=1679217159&s=sports&sr=1-442;3.6;4;₹499;₹899;;;;;;;
Nivia Super Synthetic PU Football (Size: 5; Color : Yellow;https://m.media-amazon.com/images/I/81EfPM7FLML._AC_UL320_.jpg;https://www.amazon.in/Nivia-FB-277-Super-Synthetic-Football/dp/B00FEKTGYC/ref=sr_1_443?qid=1679217159&s=sports&sr=1-443;4.0;69;₹659;₹1,069;;;;;;
ROL Reoutlook Men's Regular Fit Paper Cotton Cargo Lower;sports & fitness;3.1;620;;₹895;;;;;;;;
PUMA Sport Unisex Quarter Socks Pack of 3;sports & fitness;4.1;85;;₹199;;;;;;;;
FUAARK Double Layer 2 in 1 Sports Shorts with Inner Tights for Men Gym Tight Short with Pocket;sports & fitness;3.7;6;₹949;₹2,199;;;;;;;;
Allen Solly Men Cotton Hooded Neck Sweatshirt;sports & fitness;3.9;11,997;₹889;₹1,899;;;;;;;;
Cosco Milano Synthetic-Fiber Foot Ball; Size 5 (White/Blue/Black);https://www.amazon.in/Cosco-Milano-Foot-White-Black/dp/B00ID6OSVU/ref=sr_1_448?qid=1679217159&s=sports&sr=1-448;3.7;238;₹880;₹1,100;;;;;;;
Alan Jones Clothing Men's Slim Solid Cotton Joggers Track Pant;sports & fitness;3.7;54;₹499;₹1,299;;;;;;;;
Veirdo Fleece Material Regular Fit Full Sleeves Hooded Neck Navy & Maroon Colorblock Winter Wear Casual Jacket Sweatshirt ...;sports & fitness;3.9;2,57;₹489;₹1,999;;;;;;;;
DBURKE Lower for Mens Lower for Mens Stylish Lower for Boys Lower for Mens Sports Men Sports Lower Sports Lower for Men;sports & fitness;3.3;106;₹472;₹1,699;;;;;;;;
Polyester Men's Joggers Regular Fit Stretchable Gym; Sports & Yoga Wear | Joggers for Men | Track Pant for Men;https://www.amazon.in/Polyester-Jogger-Regular-Stretchable-Joggers/dp/B0BN7YL4PW/ref=sr_1_452?qid=1679217159&s=sports&sr=1-452;2.8;18;₹299;₹799;;;;;;;
ReDesign Apparels Men's Nylon Athletic Fit Compression Pants for Gym; Running;Football;https://m.media-amazon.com/images/I/51GiQapeRrL._AC_UL320_.jpg;https://www.amazon.in/Redesign-Compression-Swimming-Basketball-Badminton/dp/B078WWTLC7/ref=sr_1_453?qid=1679217159&s=sports&sr=1-453;4.2;1,049;₹949.05;₹2,499;;;;;
Pepup Foldable Football Tactic Coaching Board Folder with Zipper Closure; Clipboard Notepad;Football;https://m.media-amazon.com/images/I/61aJYJMDtHL._AC_UL320_.jpg;https://www.amazon.in/Pepup-Football-Colored-Notepad-Portable/dp/B07CWTT4RP/ref=sr_1_454?qid=1679217159&s=sports&sr=1-454;4.3;71;₹849;₹2,000;;;;;
VIMAL JONNEY Men's Slim Fit Polyester Blend Trackpants;sports & fitness;3.8;40;₹599;₹2,697;;;;;;;;
JUST RIDER Men's Running Full Length Tights Compression Lower Sport Leggings Gym Fitness Sportswear Training Yoga Pants fo...;sports & fitness;3.9;8;₹549;₹1,499;;;;;;;;
JUSBALL - Messi White WC Jersey with Back Print with Shorts 2022-2023 Football -(Mens & Kids) Football;sports & fitness;;;₹349;₹1,299;;;;;;;;
SHREY Original Match Cricket Socks for Mens (M);sports & fitness;;;;₹269;;;;;;;;
PUMA Lifestyle Unisex Sneaker Socks Pack of 3;sports & fitness;3.8;45;₹299;₹599;;;;;;;;
Alan Jones Clothing Boy's Cotton Hooded Neck Sweatshirt Grey;sports & fitness;4.4;236;₹549;₹1,599;;;;;;;;
Hubberholme Men's Cotton Blend Slim Fit All Season Wear Track Pants (Solid; White;https://m.media-amazon.com/images/I/51BIbqfl6GL._AC_UL320_.jpg;https://www.amazon.in/Hubberholme-Cotton-Blend-Season-Track/dp/B09KTDZ1BV/ref=sr_1_869?qid=1679217167&s=sports&sr=1-869;4.6;3;₹380;₹999;;;;;;
